epoch,time_sec,train_loss,train_dice,val_loss,val_dice
1,24.22,0.20617782028439718,0.9010199407099658,0.08391856650511424,0.9433241387208303
2,22.62,0.05509471320984965,0.9440412974765158,0.06297315061092376,0.8232247352600097
3,23.01,0.032081005060010485,0.9481667993415115,0.038627963451047735,0.9269254346688588
4,22.76,0.022344534989828482,0.9578904779548318,0.02029378544539213,0.9573160350322724
5,23.9,0.018454347991854206,0.961777276208258,0.015136272273957729,0.9693744202454885
6,24.04,0.017194027200532265,0.961088319364776,0.015509106094638507,0.9600587368011475
7,24.46,0.014074651830885401,0.9674023147831615,0.012705328688025475,0.9706692894299825
8,24.32,0.013871245655334659,0.9666278828413059,0.020382459554821254,0.9332148373126984
9,22.81,0.012725086237948675,0.9685157718312027,0.013387470847616594,0.9647656182448069
10,23.76,0.012270878721824568,0.9694432511798337,0.011257360083982348,0.9709329048792521
11,27.72,0.011644982024390474,0.9705003958482009,0.0977381449813644,0.7523682256539662
12,26.39,0.012416869131291015,0.9679169137763162,0.012071329370761911,0.9694314400355021
13,26.28,0.011938008995185424,0.9692896976430192,0.010972724560027321,0.9716373145580292
14,25.24,0.01111384141895697,0.9710660576820374,0.011670726429050168,0.967822810014089
15,25.59,0.010847140232928924,0.9712656810242906,0.010046563250944019,0.9738446851571401
16,24.15,0.012026823780491438,0.9689045624855237,0.01188153230274717,0.9692245105902354
17,26.53,0.011500182446156047,0.9699205491277907,0.014374727243557572,0.9606462895870209
18,26.56,0.01203283546373057,0.9685986660994016,0.011120484117418528,0.9691931307315826
19,25.39,0.010730383889829246,0.9714978128416926,0.010407862098266682,0.9725501159826915
20,24.67,0.010664010969683146,0.9718975083440797,0.013171178288757801,0.9658940017223359
