epoch,time_sec,lr,train_loss,train_fg_dice,train_center_mse,val_loss,val_fg_dice,val_center_mse,score
1,170.98,0.001,0.63797112583819,0.1473908100263363,0.08425159102056802,0.2271537607908249,0.1000000002164082,0.015072110556066037,0.08492788966034216
2,182.46,0.001,0.12591826270269876,0.19863043658015667,0.007616687455966073,0.12230065137147904,0.34807948376983405,0.00463775446638465,0.3434417293034494
3,178.88,0.001,0.06511380508689597,0.4869796488028352,0.0028834781666530647,0.10018467694520951,0.46544291615486144,0.002829901711083949,0.4626130144437775
4,172.66,0.001,0.04542828919273792,0.6099625882683414,0.001851912913786358,0.0850249769538641,0.5840697002410888,0.0021960934740491212,0.5818736067670397
5,183.49,0.001,0.03603008395466622,0.6750069473787109,0.0014613309221303016,0.06411588236689568,0.6679408359527588,0.0017824010644108058,0.6661584348883479
6,176.13,0.001,0.030461294885429712,0.7097894604695906,0.0012384194904929118,0.061673720516264435,0.7005066275596619,0.0016315925889648496,0.698875034970697
7,185.94,0.001,0.02687897638758958,0.7329566736917684,0.001116541606324522,0.05542082972824573,0.7283886933326721,0.0015536333993077277,0.7268350599333644
8,170.75,0.001,0.02319381940685729,0.7620159495289963,0.0009840041006244442,0.07814950361847878,0.6733500373363495,0.0015740906936116516,0.6717759466427378
9,171.45,0.001,0.021179506214022047,0.7705063939389616,0.0009084363156926154,0.05332511499524117,0.7584946465492248,0.0012378475232981145,0.7572567990259267
10,179.73,0.001,0.01944279564904178,0.7855662448276387,0.0008457016185707514,0.06058621749281883,0.7518663620948791,0.0012587092118337751,0.7506076528830453
11,173.33,0.001,0.018137973136185568,0.7987071446853109,0.0007972885258922279,0.05400533564388752,0.7679544997215271,0.0011044978175777942,0.7668500019039493
12,163.88,0.001,0.01668498234011897,0.8102812435072247,0.0007437486133087509,0.04734059937298298,0.8201915526390076,0.0009661291551310569,0.8192254234838765
13,173.3,0.001,0.015349141077719407,0.8211873656894901,0.0007027852881929173,0.04441673137247562,0.8234364366531373,0.001112750272732228,0.822323686380405
14,162.66,0.001,0.015046992230846887,0.8234881421569551,0.0006823395460291931,0.0572522309049964,0.8103245711326599,0.0010239142982754856,0.8093006568343843
15,174.27,0.001,0.014178909052458435,0.8313516353321547,0.0006536443221499789,0.04923427332192659,0.8208181595802307,0.0008921388757880777,0.8199260207044426
16,183.48,0.001,0.013404654113040997,0.8397220231518887,0.0006321559480470974,0.050237884595990184,0.8234492254257202,0.0008998566574882716,0.8225493687682319
17,178.3,0.001,0.0130844107635393,0.8439771007783342,0.0006195319130513033,0.04674343779683113,0.820589816570282,0.0008825086546130479,0.8197073079156689
18,175.72,0.001,0.01228069720125877,0.8479197748226694,0.000593340669030734,0.05162308340892196,0.8299823093414307,0.0008684995409566909,0.829113809800474
19,170.06,0.001,0.011964972995424478,0.8504290778448086,0.000581389900581049,0.045154471173882486,0.838405294418335,0.0008450861799065023,0.8375602082384285
20,144.42,0.001,0.01171865486908741,0.8544279497743833,0.0005746139898535445,0.04637295104563236,0.7930692791938782,0.0009785469947382807,0.7920907321991398
21,170.19,0.001,0.011756194447683594,0.851142333138107,0.0005702821855977325,0.04864416202530265,0.8452707886695862,0.0008632818178739398,0.8444075068517122
22,172.4,0.001,0.011132756977729351,0.8589271854351063,0.0005490444744660492,0.04383053781464696,0.822435154914856,0.0007910968223586678,0.8216440580924973
23,170.46,0.001,0.010850861277846196,0.8622239173786475,0.0005425764816164242,0.062115078661590814,0.8003567337989808,0.0010079866321757436,0.799348747166805
24,1512.96,0.001,0.011343774646243985,0.8611942075266696,0.0005479641420804748,0.046852259747684005,0.8376758623123169,0.0007589153188746423,0.8369169469934423
25,154.69,0.001,0.010744736401945131,0.8587157441542881,0.0005340978845701516,0.048086808938533065,0.8487707805633545,0.0007750419061630965,0.8479957386571915
26,109.32,0.001,0.010015279674755023,0.8743574428971451,0.0005145276133616519,0.046212835758924486,0.8488246774673462,0.0007516630296595394,0.8480730144376867
27,111.91,0.001,0.009711166311258285,0.8754094293211946,0.0005038217974234243,0.04445726785808802,0.8382419490814209,0.0007453599735163152,0.8374965891079046
