epoch,time_sec,train_loss,train_fg_dice,train_center_mse,val_loss,val_fg_dice,val_center_mse
1,207.51,0.3721277490442637,0.14216481278702478,0.04230194183246297,0.1639772656559944,0.1000000002164082,0.00891862116754055
2,204.84,0.07587554014407762,0.477792092783415,0.004346420799697851,0.0798866879940033,0.6302280020713806,0.003383804988116026
3,214.71,0.04021330225272196,0.6784380385191133,0.0020684764405256044,0.06216126941144466,0.700249080657959,0.001902756062336266
4,215.08,0.028860717832046277,0.7323773220033929,0.001360190719352242,0.07629768781363964,0.6609166932106018,0.0018504463788121938
5,215.75,0.023124918920255387,0.7614766903737984,0.0010695593032638985,0.05621457561850548,0.7596632194519043,0.0012769139977172018
6,215.37,0.020248680901114303,0.7798813892768162,0.0009267016712779014,0.044210851825773716,0.7884132528305053,0.00113245494896546
7,283.56,0.017792456877869692,0.7961923373070093,0.0008178418611711131,0.045286548249423506,0.8005764961242676,0.0010757403122261166
8,214.97,0.016530359039396637,0.8101376882283995,0.0007602841686111608,0.05441722474992275,0.7758766412734985,0.0013077803724445402
9,215.23,0.01618596050879079,0.8139848219286098,0.0007369318049998105,0.04140912424772978,0.8023024201393127,0.0008890556765254587
10,212.58,0.014519773553918567,0.8254750987680832,0.0006821131071342054,0.04771370770409703,0.824644320011139,0.001108658395241946
11,989.38,0.01368944438538597,0.8311794227597737,0.0006450044842999391,0.052764437012374404,0.7972517466545105,0.0010197669954504817
12,212.13,0.0132128941033515,0.8360578689244714,0.0006245697579360429,0.04411099199205637,0.8228119134902954,0.0008201464382000267
13,213.73,0.01241110626142472,0.8415976568761439,0.0005960096910568231,0.04489387933164835,0.8119442272186279,0.0008560311049222946
14,215.25,0.012030723785963093,0.8457833063779491,0.0005809535234382764,0.045540925860404965,0.8262265253067017,0.0008478813397232443
15,214.15,0.011675995215543057,0.8483602851629257,0.0005677786029991694,0.04746706701815128,0.8019900131225586,0.0008627129427623004
16,213.66,0.011322448100424418,0.850381614548145,0.000552160966084431,0.041981042735278605,0.8323961925506592,0.0007667389221023769
17,215.21,0.010993868300442279,0.859114129944603,0.0005439925291356492,0.04766181755810976,0.7962389111518859,0.00114630306372419
18,214.69,0.010967911905747387,0.8562580711291273,0.0005379230169277399,0.055354019049555066,0.8398872876167297,0.0008646080177277327
19,214.32,0.010731152862789903,0.856328264321431,0.000530145122694995,0.04628745408728719,0.8417241072654724,0.0007491037726867944
20,215.36,0.009822758752622153,0.865581814162802,0.0005035893990508959,0.0492385777644813,0.8565877723693848,0.0007579250517301262
